Monark;Foedt;Doed;Slaegt;Regerings_start;Regering_slut;Regeringsperioder;Anden_periodestart;Anden_periode_slut;Regerings_aar;Gift_med;Foedt_1;Doed_2;Kone_2;Foedt_3;Doed_4;Kone_3;Foedt_5;Doed_6
Gorm den gamle;NA;NA;Jellingekonger;958;NA;1;NA;NA;NA;Thyra Danebod;NA;950;NA;;;NA;NA;NA
Harald (1.) Blaatand;NA;987;Jellingekonger;958;987;1;NA;NA;29;Gunhild;NA;NA;Tove af Verden;NA;NA;NA;NA;NA
Svend (1.) Tveskaeg;NA;1014;Jellingekonger;987;1014;1;NA;NA;27;Gunhild af Polen;NA;1014;NA;NA;NA;NA;NA;NA
Harald (2.) Svensen;NA;1018;Jellingekonger;1014;1018;1;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA
Knud (2.) den Store;995;1035;Jellingekonger;1018;1035;1;NA;NA;17;Emma af Normandiet;NA;1052;NA;NA;NA;NA;NA;NA
Hardeknud (Knud 3.);1020;1042;Jellingekonger;1035;1042;1;NA;NA;7;NA;NA;NA;NA;NA;NA;NA;NA;NA
Magnus (1.) den Gode;1024;1047;Jellingekonger;1042;1047;1;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA
Svend (2.) Estridsen;NA;1076;Jellingekonger;1042;1074;1;NA;NA;32;Gunhild af Norge;NA;1060;NA;NA;NA;NA;NA;NA
Harald (3.) Hen;NA;1080;Jellingekonger;1074;1080;1;NA;NA;6;Margrethe Asbjoernsdatter;NA;NA;NA;NA;NA;NA;NA;NA
Knud (4.) den Helllige;NA;1086;Jellingekonger;1080;1086;1;NA;NA;6;Edel af Flanderen;NA;1115;NA;NA;NA;NA;NA;NA
Oluf (1.) Hunger;NA;1095;Jellingekonger;1086;1095;1;NA;NA;9;Ingegerd af Norge;NA;NA;NA;NA;NA;NA;NA;NA
Erik (1.) Ejegod;1056;1103;Jellingekonger;1095;1103;1;NA;NA;8;Bodil;NA;1130;NA;NA;NA;NA;NA;NA
Niels ;NA;1134;Jellingekonger;1104;1134;1;NA;NA;30;Margrete Fredkulla;NA;NA;Ulvhild;NA;NA;NA;NA;NA
