Monarch,Start_date,End_date
Harald 2.,1014,1018
Knud 1. den Store,1018,1035
Hardeknud,1035,1042
Magnus den Gode,1042,1047
Svend 2. Estridsen,1047,1074
Harald 3. Hen,1074,1080
Knud 2. den Hellige,1080,1086
Oluf 1. Hunger,1086,1095
Erik 1. Ejegod,1095,1103
Niels,1104,1134
Erik 2. Emune,1134,1137
Erik 3. Lam,1137,1146
"Svend 3., Knud 3., Valdemar 1.",1146,1157
Valdemar 1. den Store,1157,1182
Knud 4.,1182,1202
Valdemar 2. Sejr,1202,1241
Erik 4. Plovpenning,1241,1250
Abel,1250,1252
Christoffer 1.,1252,1259
Erik 5. Klipping,1259,1286
Erik 6. Menved,1286,1319
Christoffer 2.,1319,1326
Valdemar 3.,1326,1329
Christoffer 2.,1329,1332
Valdemar 4. Atterdag,1340,1375
Oluf 2.,1375,1387
Margrete 1.,1387,1396
Erik 7. af Pommern,1396,1439
Christoffer 3. af Bayern,1440,1448
Chrstian 1.,1448,1481
Hans,1482,1513
Christian 2.,1513,1523
Frederik 1.,1523,1533
Christian 3.,1536,1559
Frederik 2.,1559,1588
Christian 4.,1588,1648
Frederik 3.,1648,1670
Christian 5.,1670,1699
Frederik 4.,1699,1730
Christian 6.,1730,1746
Frederik 5.,1746,1766
Christian 7.,1766,1808
Frederik 6.,1808,1839
Christian 8.,1839,1848
